IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.237.95.156	8443	8443	TRUE	SIN	Asia Pacific	Singapore	107	4.76
47.245.86.230	2053	2053	TRUE	SIN	Asia Pacific	Singapore	68	4.75
47.76.33.40	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	56	4.75
47.236.75.152	8443	8443	TRUE	SIN	Asia Pacific	Singapore	76	4.75
47.242.42.153	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	60	4.74
47.243.74.220	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	88	4.73
47.236.10.100	2096	2096	TRUE	SIN	Asia Pacific	Singapore	79	4.73
47.245.102.52	2053	2053	TRUE	SIN	Asia Pacific	Singapore	51	4.72
8.218.146.204	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	90	4.72
8.219.78.1	2096	2096	TRUE	SIN	Asia Pacific	Singapore	44	4.72
47.236.5.223	8443	8443	TRUE	SIN	Asia Pacific	Singapore	93	4.72
8.219.40.37	2053	2053	TRUE	SIN	Asia Pacific	Singapore	59	4.71
8.219.229.190	2083	2083	TRUE	SIN	Asia Pacific	Singapore	50	4.71
8.218.8.142	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	122	4.7
8.222.134.170	2096	2096	TRUE	SIN	Asia Pacific	Singapore	47	4.69
8.210.107.246	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	37	4.69
8.218.126.53	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	83	4.69
8.219.77.222	2083	2083	TRUE	SIN	Asia Pacific	Singapore	51	4.68
8.219.237.250	2096	2096	TRUE	SIN	Asia Pacific	Singapore	79	4.68
8.218.181.189	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	87	4.67
8.222.165.117	8443	8443	TRUE	SIN	Asia Pacific	Singapore	95	4.67
8.219.229.190	8443	8443	TRUE	SIN	Asia Pacific	Singapore	55	4.67
8.222.249.190	2053	2053	TRUE	SIN	Asia Pacific	Singapore	40	4.67
47.243.173.187	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	104	4.65
8.218.173.78	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	57	4.65
47.237.100.206	2087	2087	TRUE	SIN	Asia Pacific	Singapore	55	4.65
47.237.14.220	2087	2087	TRUE	SIN	Asia Pacific	Singapore	55	4.64
8.217.147.230	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	49	4.64
8.218.155.238	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	83	4.63
47.242.54.157	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	47	4.62
47.242.17.250	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	56	4.62
8.219.114.201	8443	8443	TRUE	SIN	Asia Pacific	Singapore	87	4.62
47.237.95.146	2096	2096	TRUE	SIN	Asia Pacific	Singapore	110	4.6
47.237.100.206	2096	2096	TRUE	SIN	Asia Pacific	Singapore	44	4.6
47.237.84.173	2087	2087	TRUE	SIN	Asia Pacific	Singapore	46	4.59
8.217.127.73	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	70	4.59
8.217.154.218	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	51	4.58
8.219.210.64	2096	2096	TRUE	SIN	Asia Pacific	Singapore	69	4.57
8.222.215.228	8443	8443	TRUE	SIN	Asia Pacific	Singapore	97	4.56
8.217.159.210	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	68	4.56
8.210.55.134	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	66	4.55
8.218.3.12	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	90	4.54
8.210.100.23	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	67	4.54
47.237.86.185	8443	8443	TRUE	SIN	Asia Pacific	Singapore	47	4.53
47.236.102.102	8443	8443	TRUE	SIN	Asia Pacific	Singapore	77	4.53
47.236.146.249	2053	2053	TRUE	SIN	Asia Pacific	Singapore	87	4.52
47.236.237.90	2096	2096	TRUE	SIN	Asia Pacific	Singapore	35	4.52
47.236.146.249	2096	2096	TRUE	SIN	Asia Pacific	Singapore	67	4.51
47.238.35.50	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	76	4.51
47.245.84.124	2087	2087	TRUE	SIN	Asia Pacific	Singapore	50	4.51
47.236.5.223	2083	2083	TRUE	SIN	Asia Pacific	Singapore	46	4.5
8.218.52.115	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	76	4.49
47.236.144.48	8443	8443	TRUE	SIN	Asia Pacific	Singapore	69	4.49
8.218.98.75	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	49	4.48
47.238.5.0	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	75	4.48
47.236.144.208	2053	2053	TRUE	SIN	Asia Pacific	Singapore	153	4.48
8.219.106.156	443	443	TRUE	SIN	Asia Pacific	Singapore	82	4.47
47.236.83.239	2083	2083	TRUE	SIN	Asia Pacific	Singapore	93	4.47
47.237.14.220	2083	2083	TRUE	SIN	Asia Pacific	Singapore	48	4.47
8.210.245.224	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	97	4.47
47.245.118.70	2096	2096	TRUE	SIN	Asia Pacific	Singapore	74	4.46
8.219.237.250	2053	2053	TRUE	SIN	Asia Pacific	Singapore	51	4.45
8.219.84.214	2083	2083	TRUE	SIN	Asia Pacific	Singapore	84	4.45
47.243.203.119	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	98	4.45
