IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.201.27.214,2053,443,true,BOM,Asia Pacific,Mumbai,189,8.85
4.223.156.174,2053,443,true,ARN,Europe,Stockholm,252,5.70
52.28.151.10,2053,443,true,FRA,Europe,Frankfurt,253,5.48
3.252.236.19,2053,443,true,DUB,Europe,Dublin,242,5.47
13.60.115.44,2053,443,true,ARN,Europe,Stockholm,265,5.45
34.240.33.147,2053,443,true,DUB,Europe,Dublin,252,5.19
3.127.89.62,2053,443,true,FRA,Europe,Frankfurt,257,5.06
3.76.210.181,2053,443,true,FRA,Europe,Frankfurt,253,5.02
52.57.118.216,2053,443,true,FRA,Europe,Frankfurt,244,4.77
18.175.224.91,2053,443,true,LHR,Europe,London,230,4.63
20.56.151.29,2053,443,true,AMS,Europe,Amsterdam,231,4.30
13.39.193.36,2053,443,true,CDG,Europe,Paris,257,3.70
16.171.114.20,2053,443,true,ARN,Europe,Stockholm,270,3.54
13.60.190.251A,2053,443,true,LHR,Europe,London,266,3.50
35.178.199.250,2053,443,true,LHR,Europe,London,248,3.45
18.153.249.28,2053,2053,true,FRA,Europe,Frankfurt,248,3.45
13.61.2.53,2053,443,true,ARN,Europe,Stockholm,265,2.30
89.168.43.31,2053,443,true,CDG,Europe,Paris,257,2.01
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,309,1.82
158.180.49.11,2053,443,true,FRA,Europe,Frankfurt,309,1.23
18.194.183.74,2053,443,true,FRA,Europe,Frankfurt,248,1.01
16.16.114.102,2053,443,true,ARN,Europe,Stockholm,266,0.95
35.198.159.185,2053,443,true,FRA,Europe,Frankfurt,317,0.82
168.63.17.64,2053,443,true,AMS,Europe,Amsterdam,231,0.80
15.237.137.128,2053,443,true,CDG,Europe,Paris,257,0.78
13.49.76.163,2053,443,true,ARN,Europe,Stockholm,268,0.73
18.118.124.39,2053,443,true,ORD,North America,Chicago,266,0.68
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,265,0.65
146.235.59.153,2053,443,true,GRU,South America,São Paulo,395,0.32
23.95.67.107,2053,8443,true,SJC,North America,San Jose,265,0.06
68.221.242.156,2053,443,true,CDG,Europe,Paris,221,0.00
103.76.86.61,2053,443,true,AMS,Europe,Amsterdam,257,0.00
